"","date","stream","mean.daily.q","min.daily.q","max.daily.q","sd.daily.q","mean.daily.t","min.daily.t","max.daily.t","sd.daily.t"
"2588",2021-10-11,"ws55",0.700310276736111,0.5557603,0.9231128,0.0860446270168354,16.2163194444444,15.93,16.51,0.167308042913016
"2589",2021-10-12,"towr",1.42316675694444,1.360892,1.544856,0.0400935650626383,17.7995138888889,17.22,18.25,0.303384692401298
"2590",2021-10-12,"ws55",0.57133171875,0.3896352,0.6888684,0.0934969787671674,15.9501041666667,15.48,16.3,0.242981601768343
"2591",2021-10-13,"towr",1.29705000347222,1.210144,1.387832,0.060635767679712,17.7261458333333,17.23,18.26,0.389640332120065
"2592",2021-10-13,"ws55",0.508660495138889,0.3626086,0.6292085,0.0790085118593975,15.8983680555556,15.33,16.55,0.384662089757432
"2593",2021-10-14,"towr",1.27778198611111,1.210144,1.373719,0.0450023103172305,17.945,17.25,18.57,0.487721003242104
"2594",2021-10-14,"ws55",0.492865753472222,0.4266903,0.5446126,0.0312661358374339,16.1710763888889,15.42,16.84,0.472689562732069
"2595",2021-10-15,"towr",1.20151194097222,1.123285,1.270292,0.0345571046991014,18.0085069444444,17.38,18.57,0.34295730672683
"2596",2021-10-15,"ws55",0.428973327430556,0.3588692,0.4814704,0.0321467997201023,16.39625,15.88,17.03,0.322725490409851
"2597",2021-10-16,"towr",1.59624771539669,1.187148,2.38077947890411,0.278357715805696,17.1752083333333,15.61,17.95,0.644542317968004
"2598",2021-10-16,"ws55",0.507683265972222,0.3984867,0.5590833,0.0359811421543032,15.4824305555556,13.37,16.3,0.930452474341036
"2599",2021-10-17,"towr",1.71190342627093,1.55743332589041,2.09608049671233,0.1315280486605,15.0990625,14.24,15.63,0.335931005832213
"2600",2021-10-17,"ws55",0.582586613888889,0.5121942,0.6576064,0.0343100695475997,12.9270833333333,12.29,13.55,0.373606353421717
"2601",2021-10-18,"towr",1.90994689383942,1.60232519931507,2.29725697561644,0.196673159280241,14.0516319444444,12.88,15.01,0.668918032681419
"2602",2021-10-18,"ws55",0.518057094097222,0.4489884,0.5716257,0.0235442672432018,12.3690972222222,11.11,13.44,0.770771741583018
"2603",2021-10-19,"towr",1.48121526071347,1.30575635438356,1.67172006993151,0.101839152291591,13.7960069444444,12.64,14.86,0.715498675996192
"2604",2021-10-19,"ws55",0.509940128472222,0.347424,0.5557603,0.034075959966832,12.4369444444444,10.66,13.46,0.781478343323736
"2605",2021-10-20,"towr",1.21119483244863,0.994992174931507,1.53411558239726,0.123176194654051,13.8839583333333,12.68,14.79,0.712251393145937
"2606",2021-10-20,"ws55",0.500402405208333,0.4168271,0.5466692,0.0216470892143336,12.7254861111111,11.41,13.64,0.74558382040915
"2607",2021-10-21,"towr",1.10774149098935,0.840490159178082,2.3095096759589,0.334416805380084,14.8665625,13.75,15.97,0.801975124682653
"2608",2021-10-21,"ws55",0.553227618402778,0.4633806,1.165092,0.101892935813329,13.4962847222222,12.59,14.2,0.559541016026484
"2609",2021-10-22,"towr",1.43228418078006,1.25696772452055,1.85337602191781,0.116790658220934,15.3953125,14.7,15.94,0.33627790416968
"2610",2021-10-22,"ws55",0.663987335069444,0.5902528,0.8739528,0.0520286949848163,13.8321527777778,13.26,14.23,0.286360468712142
"2611",2021-10-23,"towr",1.18126041918189,1.06445661726027,1.28345178527397,0.0667003673539262,14.5826041666667,13.7,15.26,0.471592848647507
"2612",2021-10-23,"ws55",0.652504528819444,0.5615816,0.7022068,0.0312060457776418,13.0576041666667,12.18,13.72,0.489257586172333
"2613",2021-10-24,"towr",0.965210043000381,0.848848080410959,1.10636551075342,0.0746097655544691,14.5261805555556,13.29,15.34,0.700301574189459
"2614",2021-10-24,"ws55",0.617684442013889,0.5607482,0.6620957,0.0299545871472251,13.1516319444444,12.25,13.79,0.535765215187833
"2615",2021-10-25,"towr",0.91365056612443,0.817713741575343,1.20382937630137,0.089423475334579,15.5121875,14.75,16.13,0.470120904735884
"2616",2021-10-25,"ws55",0.620681175347222,0.566175,0.7207977,0.0249031883134756,13.9484027777778,13.43,14.41,0.313496996511171
"2617",2021-10-26,"towr",0.79010856708809,0.7305218,1.749071,0.0783126785608701,14.6477083333333,13.26,15.53,0.508340497084001
"2618",2021-10-26,"ws55",0.310815202118056,0.0251441,0.666599,0.304140477150966,12.3549652777778,9.53,13.93,0.985750390079953
"2619",2021-10-27,"towr",0.732635439583333,0.7082543,0.7558935,0.00848987917029229,12.99875,11.82,14.08,0.683047970216386
"2620",2021-10-27,"ws55",0.0277476703125,0.02120983,0.03876881,0.00294225778216308,10.0351319444444,7.378,12.28,1.66982955689511
"2621",2021-10-28,"towr",0.900409823611111,0.7200302,1.314933,0.191305725509797,13.5380555555556,12.81,14.2,0.460619606606074
"2622",2021-10-28,"ws55",0.155255012604167,0.0216731,0.6252614,0.146793360146052,11.6507986111111,11.3,12.32,0.325372562225114
"2623",2021-10-29,"towr",0.769670449709743,0.567690616622807,1.26275086518133,0.139987363542309,13.8044736842105,NA,14.02,0.0921243110252756
"2624",2021-10-29,"ws55",0.178250194652778,0.05577442,0.3269941,0.108347020671708,11.4042361111111,10.29,12.18,0.521271669205733
"2625",2021-10-30,"towr",0.82641105154759,0.591320889339156,0.940995792070626,0.0965553476045419,NA,NA,-Inf,NA
"2626",2021-10-30,"ws55",0.0711840007291667,0.04691662,0.08828553,0.0104939442883458,10.4765277777778,9.49,11.41,0.601355402223342
"2627",2021-10-31,"towr",0.740396506201644,0.562230383562982,0.885372508298277,0.0815236809223576,NA,NA,-Inf,NA
"2628",2021-10-31,"ws55",0.0650904082291667,0.04785104,0.100755,0.01464966378383,11.3822222222222,10.26,12.52,0.667037179270273
"2629",2021-11-01,"towr",0.78814950671438,0.549884738058498,1.031889,0.160136278642297,13.5799315068493,NA,13.87,0.263675601568559
"2630",2021-11-01,"ws55",0.0805548187152778,0.06227097,0.09812585,0.00798210707777988,10.8281597222222,8.8,12.55,1.25434176229203
"2631",2021-11-02,"towr",0.791366490277778,0.7600831,0.8747319,0.0276458420281132,12.9559027777778,12.32,13.86,0.49840360230806
"2632",2021-11-02,"ws55",0.0855609149652778,0.06211966,0.1252218,0.0234232610428671,10.9082638888889,9.7,12.2,0.749281030404612
"2633",2021-11-03,"towr",0.730352373611111,0.6236466,0.8772199,0.097237261381825,12.3633333333333,12.01,12.71,0.173813549028216
"2634",2021-11-03,"ws55",0.0840641544097222,0.01366812,0.1670563,0.0592748929242109,9.30364583333333,8.2,10.48,0.575648919921656
"2635",2021-11-04,"towr",0.773206805208333,0.6867495,1.007873,0.0888532913184594,11.9893055555556,11.67,12.26,0.112101576498053
"2636",2021-11-04,"ws55",0.074455985625,0.0135179,0.1537182,0.03012441201038,8.49269444444444,7.653,9.1,0.440209069394749
"2637",2021-11-05,"towr",0.66553039375,0.6403436,0.6943308,0.0124314343341639,11.6752430555556,10.88,12.33,0.374625401687122
"2638",2021-11-05,"ws55",0.0791288629513889,0.06440699,0.08864144,0.00455179140630325,8.82739583333333,8.08,10,0.611317041883231
"2639",2021-11-06,"towr",0.634424497222222,0.6054728,0.6787639,0.0108829590823455,10.8143402777778,9.76,11.77,0.621746653572973
"2640",2021-11-06,"ws55",0.0838547230902778,0.07117443,0.1141791,0.00897362525280061,8.31676736111111,5.917,9.96,1.262575520787
"2641",2021-11-07,"towr",0.596519619666667,0.5772388,0.6198223,0.00900994697763417,10.3317666666667,9.01,11.42,0.771363653002135
"2642",2021-11-07,"ws55",0.0994113413541667,0.08476276,0.1163904,0.00841806401838911,8.70809722222222,NA,10.43,1.34218908412833
"2643",2021-11-08,"towr",0.577305095486111,0.5356581,0.6160088,0.00790524392568715,10.7615625,9.28,12.02,0.94472014711177
"2644",2021-11-08,"ws55",0.0889347086458333,0.06814579,0.1094222,0.00928283927779886,9.74495833333333,7.508,11.77,1.35135410924429
"2645",2021-11-09,"towr",0.572874299652778,0.5580875,0.6253498,0.00771116193723066,11.4871875,9.9,12.79,1.01309754058637
"2646",2021-11-09,"ws55",0.0806099954513889,0.05780574,0.09241823,0.00379807348158809,10.9077430555556,8.61,12.67,1.22762232014868
"2647",2021-11-10,"towr",0.871875516319444,0.5472204,1.317934,0.338727707432238,12.1224652777778,10.87,13.14,0.772700927609669
"2648",2021-11-10,"ws55",0.0733823003125,0.06016816,0.09943643,0.00915183764820711,11.66125,9.8,12.98,0.826718356163765
"2649",2021-11-11,"towr",1.8986000157635,1.276203,6.14953,1.02120519800842,13.192304964539,NA,14.75,0.69410533257963
"2650",2021-11-11,"ws55",0.314075392291667,0.04879394,2.961487,0.673713780729703,11.9709027777778,11.4,12.43,0.339193372318814
"2651",2021-11-12,"towr",0.992891075231217,0.7254953,2.60465043580092,0.417316347972609,11.7141666666667,NA,12.47,0.53105555956241
"2652",2021-11-12,"ws55",0.321755606597222,0.2393518,1.010884,0.114079129834171,11.1602777777778,10.29,12.36,0.541964994233793
