"","date","stream","m","mean_temp","month","year","trt_yr","decomp_month"
"124",2018-05-09,"towr","59",12.6786979166667,5,2018,"WTF",6
"125",2018-05-09,"towr","83",12.6420520833333,5,2018,"WTF",6
"126",2018-05-09,"towr","99",12.67678125,5,2018,"WTF",6
"127",2018-05-10,"c55","0",13.6345520833333,5,2018,"WTF",6
"128",2018-05-10,"c55","100",13.5325,5,2018,"WTF",6
"129",2018-05-10,"c55","118",13.4696770833333,5,2018,"WTF",6
"130",2018-05-10,"c55","21",13.5094270833333,5,2018,"WTF",6
"131",2018-05-10,"c55","39",13.3559895833333,5,2018,"WTF",6
"132",2018-05-10,"c55","58",13.5176979166667,5,2018,"WTF",6
"133",2018-05-10,"c55","82",13.4140520833333,5,2018,"WTF",6
"134",2018-05-10,"towr","0",13.08478125,5,2018,"WTF",6
"135",2018-05-10,"towr","118",12.8625833333333,5,2018,"WTF",6
"136",2018-05-10,"towr","19",13.17034375,5,2018,"WTF",6
"137",2018-05-10,"towr","37",13.0466354166667,5,2018,"WTF",6
"138",2018-05-10,"towr","59",12.9320208333333,5,2018,"WTF",6
"139",2018-05-10,"towr","83",12.8783020833333,5,2018,"WTF",6
"140",2018-05-10,"towr","99",12.9115104166667,5,2018,"WTF",6
"141",2018-05-11,"c55","0",13.80775,5,2018,"WTF",6
"142",2018-05-11,"c55","100",13.69903125,5,2018,"WTF",6
"143",2018-05-11,"c55","118",13.6309895833333,5,2018,"WTF",6
"144",2018-05-11,"c55","21",13.6755208333333,5,2018,"WTF",6
"145",2018-05-11,"c55","39",13.5068854166667,5,2018,"WTF",6
"146",2018-05-11,"c55","58",13.675,5,2018,"WTF",6
"147",2018-05-11,"c55","82",13.5955,5,2018,"WTF",6
"148",2018-05-11,"towr","0",13.36415625,5,2018,"WTF",6
"149",2018-05-11,"towr","118",13.07378125,5,2018,"WTF",6
"150",2018-05-11,"towr","19",13.4616354166667,5,2018,"WTF",6
"151",2018-05-11,"towr","37",13.32384375,5,2018,"WTF",6
"152",2018-05-11,"towr","59",13.1845416666667,5,2018,"WTF",6
"153",2018-05-11,"towr","83",13.11671875,5,2018,"WTF",6
"154",2018-05-11,"towr","99",13.1425520833333,5,2018,"WTF",6
"155",2018-05-12,"c55","0",14.2255208333333,5,2018,"WTF",6
"156",2018-05-12,"c55","100",14.045,5,2018,"WTF",6
"157",2018-05-12,"c55","118",13.9701770833333,5,2018,"WTF",6
"158",2018-05-12,"c55","21",14.0539375,5,2018,"WTF",6
"159",2018-05-12,"c55","39",13.8529166666667,5,2018,"WTF",6
"160",2018-05-12,"c55","58",14.03046875,5,2018,"WTF",6
"161",2018-05-12,"c55","82",13.9362291666667,5,2018,"WTF",6
"162",2018-05-12,"towr","0",13.7783020833333,5,2018,"WTF",6
"163",2018-05-12,"towr","118",13.4164583333333,5,2018,"WTF",6
"164",2018-05-12,"towr","19",13.91584375,5,2018,"WTF",6
"165",2018-05-12,"towr","37",13.7367604166667,5,2018,"WTF",6
"166",2018-05-12,"towr","59",13.5655416666667,5,2018,"WTF",6
"167",2018-05-12,"towr","83",13.4877291666667,5,2018,"WTF",6
"168",2018-05-12,"towr","99",13.49828125,5,2018,"WTF",6
"169",2018-05-13,"c55","0",14.3962395833333,5,2018,"WTF",6
"170",2018-05-13,"c55","100",14.2188125,5,2018,"WTF",6
"171",2018-05-13,"c55","118",14.1391458333333,5,2018,"WTF",6
"172",2018-05-13,"c55","21",14.2240416666667,5,2018,"WTF",6
"173",2018-05-13,"c55","39",14.02,5,2018,"WTF",6
"174",2018-05-13,"c55","58",14.2023125,5,2018,"WTF",6
"175",2018-05-13,"c55","82",14.0936875,5,2018,"WTF",6
"176",2018-05-13,"towr","0",13.98271875,5,2018,"WTF",6
"177",2018-05-13,"towr","118",13.6053125,5,2018,"WTF",6
"178",2018-05-13,"towr","19",14.1179791666667,5,2018,"WTF",6
"179",2018-05-13,"towr","37",13.9476875,5,2018,"WTF",6
"180",2018-05-13,"towr","59",13.7624166666667,5,2018,"WTF",6
"181",2018-05-13,"towr","83",13.6868541666667,5,2018,"WTF",6
"182",2018-05-13,"towr","99",13.6946354166667,5,2018,"WTF",6
"183",2018-05-14,"c55","0",14.6115729166667,5,2018,"WTF",6
"184",2018-05-14,"c55","100",14.4227083333333,5,2018,"WTF",6
"185",2018-05-14,"c55","118",14.3233125,5,2018,"WTF",6
"186",2018-05-14,"c55","21",14.43371875,5,2018,"WTF",6
